Borough,Neighborhood,Venue_name,Venue_id,Venue_lat,Venue_lng,PriceTier,LikesCount,Dislike,Rating,BeenHereCount,PhotosCount,ReasonsCount,TipsCount
Bronx,Melrose,The Best Italian Pizza,4bf55ff859dd76b016b41f5b,40.816022744155774,-73.91562794639492,0,1,False,0.0,0,0,0,0
Bronx,Mott Haven,La Grata,57880396498ee6c19260a93b,40.80725200000001,-73.926851,0,7,False,6.9,0,15,0,1
Bronx,Mott Haven,Wish 37,4e6acfb1ae60950955a9b02b,40.807103999999995,-73.927652,0,3,False,6.6,0,6,0,6
Bronx,Mott Haven,Monte’s Brick Oven,5d422723ad9f66000957588f,40.807339,-73.926921,0,0,False,0.0,0,1,0,0
Bronx,Throgs Neck,Patricia's of Tremont,4b4e3e87f964a5209de626e3,40.82311888943028,-73.81940281496017,2,48,False,8.2,0,47,1,29
Bronx,Throgs Neck,Tosca Café,4b4b9f1df964a5201fa226e3,40.819204436132736,-73.81746681637895,2,167,False,8.2,0,205,1,60
Bronx,Throgs Neck,Tommy's Pizzeria,4c78a45597028cfa05b6d8fe,40.819572935631406,-73.81748174041417,0,14,False,8.0,0,12,0,15
Bronx,Throgs Neck,Ice House Cafe,4b958fccf964a52091a934e3,40.81693037118076,-73.8067873647888,2,11,False,7.4,0,13,0,14
Bronx,Throgs Neck,Tosca Marquee,4d4456d93616b60c953fe3c2,40.819222257989786,-73.81760066505247,0,20,False,6.8,0,39,0,14
Bronx,Throgs Neck,Mamma Lucia's Pizza & Pasta,4b6cb1c0f964a520d04c2ce3,40.814595207506606,-73.80937943399101,0,3,False,6.6,0,3,0,10
Bronx,Throgs Neck,Spoto's Italian Restaurant,4c1d717b8b3aa59363a99a5f,40.82039946759965,-73.8177024901674,3,6,False,6.6,0,19,0,11
Bronx,Throgs Neck,Rino's Italian Restaurant,4b491198f964a5208f6426e3,40.821230910311535,-73.81874315720901,0,6,False,6.6,0,6,0,1
Bronx,Country Club,Louie & Ernie's Pizza,4b47ee2ff964a520544426e3,40.83831033779175,-73.82878549938773,2,102,False,8.9,0,77,1,47
Bronx,Country Club,Lucca Italian Restaurant,4c9e1ef2542b224b70a3f09f,40.847676,-73.831834,2,7,False,7.7,0,9,0,4
